artist,year,words,syllables,sentiment,ttr
Adele,2008,931,221,3.3,0.5
Adele,2008,1907,465,7.4,0.353658537
Adele,2008,1367,355,0.3,0.289655172
Adele,2008,1310,324,0.05,0.321678322
Adele,2008,879,224,0,0.586956522
Adele,2008,1162,298,0.6,0.413385827
Adele,2008,801,193,-2.1,0.554216867
Adele,2008,1765,434,-4.6,0.321989529
Adele,2008,873,212,0.05,0.494680851
Adele,2008,1320,349,0.8,0.323741007
Adele,2008,1126,275,-1.6,0.433628319
Adele,2008,1127,291,1.25,0.386266094
Adele,2008,1092,277,2.35,0.367768595
Adele,2008,998,233,-3.1,0.363636364
Adele,2008,828,204,-1.35,0.458064516
Adele,2008,1458,358,-1.7,0.278317152
Adele,2011,2700,663,-1.75,0.228723404
Adele,2011,1197,288,0.2,0.408730159
Adele,2011,1184,298,-3.3,0.346613546
Adele,2011,1043,277,2.1,0.438679245
Adele,2011,1610,381,-1.7,0.349112426
Adele,2011,1960,497,-4.6,0.324503311
Adele,2011,1114,285,1.35,0.37704918
Adele,2011,1720,446,5.75,0.268698061
Adele,2011,1799,462,4.7,0.265463918
Adele,2011,917,251,2.55,0.180851064
Adele,2011,1676,407,0.9,0.36119403
Adele,2011,1181,288,-2.3,0.454545455
Adele,2011,1312,324,1.25,0.298507463
Adele,2011,1325,335,-1.3,0.382352941
Adele,2011,977,256,-0.95,0.356481481
Adele,2015,1693,434,2.6,0.35
Adele,2015,1835,474,6.15,0.21039604
Adele,2015,1435,362,0.9,0.33442623
Adele,2015,1682,419,0.55,0.318681319
Adele,2015,1181,292,0.65,0.319066148
Adele,2015,1869,469,-0.8,0.212195122
Adele,2015,1778,475,-1.25,0.28680203
Adele,2015,1345,343,-4.05,0.465384615
Adele,2015,1294,330,2,0.387543253
Adele,2015,1272,329,-0.8,0.384615385
Adele,2015,1283,339,4.25,0.421686747
Adele,2015,1192,311,0.5,0.347826087
Adele,2015,1313,325,1.15,0.233898305
Adele,2015,1839,481,0.1,0.241860465
Beyonce,2003,3761,978,8.25,0.266503667
Beyonce,2003,1510,410,-0.55,0.248466258
Beyonce,2003,2443,NA,6.8,0.332061069
Beyonce,2003,2091,536,-3.5,0.442477876
Beyonce,2003,1589,410,3.65,0.311614731
Beyonce,2003,1934,487,-2.85,0.331018519
Beyonce,2003,1759,463,4.15,0.350383632
Beyonce,2003,2145,643,2.9,0.3150358
