Name,Park,State,Country,Duration,Speed,Height,drop,Length,Inversions
Xcelerator ,Knott's Berry Farm ,California ,USA ,62,82,205,130,2202,No
Desperado ,Buffalo Bill's Resort & Casino ,Nevada ,USA ,163,80,209,225,5843,No
Nitro ,Six Flags Great Adventure ,New Jersey ,USA ,240,80,230,215,5394,No
Superman - Ride Of Steel ,Six Flags New England ,Massachusetts ,USA ,155,77,208,221,5400,No
Mamba ,Worlds of Fun ,Missouri ,USA ,180,75,205,205,5600,No
Steel Force ,Dorney Park ,Pennsylvania ,USA ,180,75,200,205,5600,No
Wild Thing ,Valleyfair! ,Minnesota ,USA ,180,74,207,196,5460,No
Apollo's Chariot ,Busch Gardens Williamsburg ,Virginia ,USA ,135,73,170,210,4882,No
Raging Bull ,Six Flags Great America ,Illinois ,USA ,150,73,202,208,5057,No
Rattler ,Six Flags Fiesta Texas ,Texas ,USA ,146,73,179.5,166.5,5080,No
Superman - Ride Of Steel ,Six Flags Darien Lake ,New York ,USA ,200,73,208,205,5400,No
Magnum XL-200 ,Cedar Point ,Ohio ,USA ,120,72,205,194.6,5106,No
Viper ,Six Flags Magic Mountain ,California ,USA ,150,70,188,171,3830,Yes
Great American Scream Machine ,Six Flags Great Adventure ,New Jersey ,USA ,140,68,173,155,3800,Yes
Alpengeist ,Busch Gardens Williamsburg ,Virginia ,USA ,190,67,195,170,3828,Yes
Incredible Hulk ,Universal Studios Islands of Adventure ,Florida ,USA ,135,67,110,105,3700,Yes
Manhattan Express ,"New York, New York Hotel & Casino ",Nevada ,USA ,160,67,203,144,4777,Yes
American Eagle ,Six Flags Great America ,Illinois ,USA ,143,66,127,147,4650,No
Wildfire ,Silver Dollar City ,Missouri ,USA ,136,66,120,155,3073,Yes
Deja Vu ,Six Flags Great America ,Illinois ,USA ,92,65.6,191.5,177,1204,Yes
Hercules ,Dorney Park ,Pennsylvania ,USA ,135,65,95,151,4000,No
Kraken ,SeaWorld Orlando ,Florida ,USA ,219,65,149,144,4177,Yes
Mean Streak ,Cedar Point ,Ohio ,USA ,193,65,161,155,5427,No
Medusa ,Six Flags Marine World ,California ,USA ,195,65,150,150,3937,Yes
Orient Express ,Worlds of Fun ,Missouri ,USA ,150,65,117,115,3470,Yes
Rattler ,Six Flags Fiesta Texas ,Texas ,USA ,146,65,179.5,124,5080,No
Riddler's Revenge ,Six Flags Magic Mountain ,California ,USA ,180,65,156,146,4370,Yes
Steel Eel ,SeaWorld Of Texas ,Texas ,USA ,180,65,150,150,3700,No
Texas Giant ,Six Flags Over Texas ,Texas ,USA ,150,65,143,137,4920,No
Beast ,Paramount's Kings Island ,Ohio ,USA ,220,64.8,105,141,7400,No
Chang ,Six Flags Kentucky Kingdom ,Kentucky ,USA ,180,63,154,144,4155,Yes
Scream! ,Six Flags Magic Mountain ,California ,USA ,180,63,150,141,3985,Yes
Tennessee Tornado ,Dollywood ,Tennessee ,USA ,108,63,163,128,2682,Yes
Colossus ,Six Flags Magic Mountain ,California ,USA ,150,62,125,115,4325,No
Screamin' Eagle ,Six Flags St. Louis ,Missouri ,USA ,150,62,110,92,3872,No
Hangman ,Wild Adventures ,Georgia ,USA ,125,55,115,95,2170,Yes
Hurricane ,Myrtle Beach Pavilion ,South Carolina ,USA ,120,55,101.5,100,3800,No
Invertigo ,Paramount's Great America ,California ,USA ,90,55,138,138,985,Yes
Iron Wolf ,Six Flags Great America ,Illinois ,USA ,120,55,100,90,2900,Yes
Kong ,Six Flags Marine World ,California ,USA ,125,55,115,95,2170,Yes
Mind Eraser ,Six Flags America ,Maryland ,USA ,125,55,115,95,2170,Yes
Silver Bullet ,Frontier City ,Oklahoma ,USA ,75,55,83,75,1942,Yes
T2 ,Six Flags Kentucky Kingdom ,Kentucky ,USA ,125,55,115,95,2170,Yes
Thunderbolt ,Kennywood Park ,Pennsylvania ,USA ,90,55,70,95,2887,No
Timber Wolf ,Worlds of Fun ,Missouri ,USA ,133,53,100,95,4230,No
Wild One ,Six Flags America ,Maryland ,USA ,150,53,98,88,4000,No
Coaster Thrill Ride ,Puyallup Fair ,Washington ,USA ,105,50,55,52,2650,No
Comet ,Hersheypark ,Pennsylvania ,USA ,105,50,84,78,3360,No
ew Mexico Rattler ,Cliff's Amusement Park ,New Mexico ,USA ,75,47,80,75,2750,No
Afterburner ,Fun Spot ,Indiana ,USA ,66,45,56,47,635,Yes
Whizzer ,Six Flags Great America ,Illinois ,USA ,120,42,70,64,3100,No
Canyon Blaster ,Adventuredome ,Nevada ,USA ,60,41,94,66,2423,Yes
Blue Streak ,Cedar Point ,Ohio ,USA ,105,40,78,72,2558,No
Titan ,Space World ,Kitakyushu ,Japan ,180,71.5,166,178,5019.67,No
Stunt Fall ,Warner Bros. Movie World ,San MartÌn de la Vega ,Spain ,92,65.6,191.6,177,1204,Yes
Hayabusa ,Tokyo SummerLand ,Tokyo ,Japan ,108,60.3,137.8,124.67,2559.1,No
Top Gun ,Paramount Canada's Wonderland ,Vaughan ,Canada ,125,56,102,93,2170,Yes
