Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
9602,2,F,62,130,No,right,3,3,120,6,,14,No,Yes,6,4950,Olympic,0,No,,,Yes,Mac,TikTok,3
1656,2,F,61,135,No,left,1,1,0,4,3.5,1,No,No,10,8362,Nobel,2,No,79,200,No,PC,TikTok,3
4646,2,F,67,138,No,right,2,1,15,10,3.75,4,No,No,1,1938,Nobel,4,No,64,646,No,Mac,Instagram,3
5329,3,M,72,220,No,right,2,1,20,1,3.4,21,No,Yes,5,5678,Olympic,0,No,66,200,Yes,Mac,Instagram,1
5180,2,M,73,150,Yes,right,4,5,0,3.5,3.5,10,No,No,14,7325,Olympic,3,No,62,24,No,Mac,Instagram,1
2326,1,F,65,122,No,right,2,2,45,3,,4,No,No,5,5314,Academy,2,No,65,56,Yes,Mac,Snapchat,1
1329,3,M,70,195,No,both,1,1,20,3,,20,No,Yes,5,4423,Olympic,0,Yes,,10,Yes,PC,Snapchat,1
4508,1,M,74,185,No,right,2,2,30,6,,10,No,Yes,15,8493,Olympic,0,No,70,0,Yes,PC,Instagram,1
961,2,F,64,105,No,right,1,2,60,10,3.7,3,No,No,2,7368,Nobel,4,No,92,0,Yes,Mac,Snapchat,1
5233,1,F,72,165,No,left,3,3,100,15,,5,No,Yes,3,5289,Olympic,0,Yes,84,300,No,Mac,Snapchat,1
917,3,M,75,170,No,right,0,1,25,3,3,25,No,Yes,15,1326,Olympic,0,No,56,3,No,Mac,Instagram,1
665,1,M,71,170,No,right,3,1,15,3,,10,No,Yes,9,4763,Olympic,0,No,50,0,Yes,Mac,Instagram,1
8531,3,F,65,124,No,right,1,2,0,7,,3,No,No,2,6674,Nobel,3,No,,112,No,PC,Instagram,1
7531,4,F,62,125,No,right,2,1,0,3.5,3.68,7,No,No,3,6837,Nobel,3,No,74,20,No,PC,Snapchat,1
8503,1,M,72,165,No,both,3,1,20,6,,10,No,Yes,6,1030,Nobel,0,No,73,80,Yes,Mac,Instagram,1
8287,2,M,72,170,No,right,1,1,25,6,3.4,16,Planning,Yes,12,7777,Olympic,0,No,60,0,No,Mac,Instagram,1
2484,1,F,64,110,No,right,2,1,80,7,,2,No,No,2,6172,Olympic,2,No,,,Yes,PC,Instagram,1
8552,1,M,70,180,No,left,2,1,20,5,,5,No,Yes,10,6846,Olympic,0,No,56,0,Yes,Mac,Instagram,1
2101,2,F,68,198,No,right,2,3,190,5,3,10,Yes,Yes,14,7654,Academy,5,No,61,,Yes,Mac,Instagram,1
5559,2,M,70,160,No,right,1,1,0,6.5,3.44,5,Planning,Yes,10,8184,Olympic,0,Yes,65,300,Yes,Mac,Instagram,1
8794,2,M,71,185,No,right,2,3,25,6,3.19,6,No,Yes,8,1528,Olympic,0,No,60,900,Yes,Mac,Instagram,1
5580,1,F,72,175,No,right,2,1,0,3.5,,36,No,Yes,28,6284,Olympic,2,No,40,150,No,Mac,Instagram,1
1861,1,M,73,150,No,right,1,1,30,6,,14,No,No,28,4762,Olympic,0,No,100,0,Yes,PC,Snapchat,1
7921,2,F,62,115,No,right,5,4,65,5.8,2.7,7,No,No,2,5287,Olympic,6,Yes,53,300,Yes,Mac,TikTok,1
1279,1,M,67,167,No,right,0,1,20,0.75,,35,No,Yes,5,2769,Olympic,0,Yes,56,0,Yes,Mac,Snapchat,1
7312,2,M,72,191,No,right,1,1,0,4.5,3.8,16,Planning,Yes,1,8572,Olympic,2,Yes,64,0,No,Mac,Instagram,1
2503,1,M,72,195,No,right,4,4,30,12,,7,No,No,4,1257,Nobel,0,No,82,0,Yes,Mac,Snapchat,1
4343,1,F,62,160,No,right,1,2,0,6,,2,No,No,7,2927,Nobel,2,No,60,0,Yes,Mac,TikTok,1
9505,3,M,68,170,Yes,right,1,1,0,1,3.6,5,No,No,5,6645,Nobel,0,No,70,250,No,Mac,Snapchat,1
1558,1,F,64,145,No,right,2,2,40,2.5,,10,No,No,15,5466,Nobel,2,No,85,15,No,Other,Instagram,1
2895,2,F,66,124,No,right,1,1,0,18,3.9,9,No,Yes,4,1234,Olympic,7,No,88,140,No,Mac,Snapchat,2
516,2,M,70,170,No,right,1,1,50,7,3.6,7,No,No,0,2322,Olympic,0,No,60,0,Yes,Mac,Snapchat,2
9691,1,M,74,190,No,right,2,2,20,31,,10,No,Yes,10,9770,Nobel,0,No,60,208,Yes,PC,Instagram,2
2785,2,F,68,135,No,right,1,1,70,9.5,3.87,12,No,No,5,9675,Olympic,2,No,75,110,No,Mac,Snapchat,2
7040,2,F,64,130,No,right,2,2,25,3,3,4,No,Yes,7,5347,Olympic,5,Yes,63,54,No,Mac,Snapchat,2
1677,4,F,64,150,Yes,right,0,1,60,16,3.4,1.5,No,No,3,7492,Nobel,2,Yes,65,727,No,PC,Snapchat,2
8565,1,M,67,150,No,right,1,1,20,7,,6,No,No,20,8697,Nobel,0,No,67,0,Yes,PC,Snapchat,2
2275,1,M,76,195,No,right,2,3,45,6,,6,No,Yes,5,8754,Olympic,0,No,70,100,Yes,Mac,Instagram,2
7927,2,F,62,115,No,right,2,1,60,18,3.85,10,No,Yes,0,1921,Olympic,4,No,66,240,No,Mac,Instagram,2
3711,3,F,65,135,No,right,1,2,150,6,3.5,15,No,Yes,7,1717,Olympic,2,No,75,374,Yes,Mac,TikTok,2
2731,2,M,71,170,No,right,2,1,20,5,3.6,7,Planning,No,15,9999,Olympic,0,No,50,0,Yes,PC,Snapchat,2
737,1,F,60,115,No,right,1,2,75,2,,3,No,No,3,7853,Academy,5,Yes,86,0,No,Mac,Snapchat,2
9131,2,F,70,145,No,right,2,3,80,6.1,3.67,9,No,Yes,2,7579,Olympic,4,No,57,50,Yes,Mac,Instagram,2
