Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Zombie Dust Clone - EXTRACT,American IPA,18.93,1.063,1.018,5.91,59.25,8.98,22.71,60,70,extract
Zombie Dust Clone - ALL GRAIN,American IPA,22.71,1.061,1.017,5.8,54.48,8.5,26.5,60,70,All Grain
Bakke Brygg HveteIPA 25 L,American IPA,25,1.064,1.014,6.63,64.26,7.78,29,90,74,All Grain
Hop Notch Clone,American IPA,15.14,1.066,1.015,6.62,111,14.26,11.36,90,70,BIAB
Racer 5 IPA Clone,American IPA,20.82,1.073,1.019,7.07,69.72,6.28,28.39,60,70,All Grain
Sam Adams Rebel IPA Clone,American IPA,18.93,1.066,1.017,6.51,60.96,10.54,11.36,60,30,extract
White IPA,American IPA,37.85,1.064,1.017,6.2,64.67,3.91,34.07,60,70,All Grain
Bells two hearted clone,American IPA,20.82,1.073,1.018,7.14,61.83,8.1,24.61,60,75,All Grain
Avg. Perfect Northeast IPA (NEIPA),American IPA,21.77,1.062,1.013,6.5,53.3,5.2,28.39,60,70,All Grain
IPA - Tired Hands Milkshake,American IPA,24.61,1.058,1.017,5.34,57.84,3.98,28.39,60,83,BIAB
Grapefruit IPA,American IPA,26.5,1.052,1.012,5.31,60.58,5.82,32.18,60,70,All Grain
Mosaic IPA,American IPA,18.93,1.074,1.018,7.24,0,7.68,22.71,60,75,All Grain
New England IPA,American IPA,19.87,1.071,1.018,6.93,68.91,6.82,28.39,60,72,All Grain
Tree House Julius Clone,American IPA,20.82,1.065,1.018,6.26,89.61,6.93,28.39,60,70,All Grain
Simple Citra IPA - One Gallon,American IPA,3.79,1.058,1.011,6.1,37.06,11.45,5.68,60,55,All Grain
Blood Orange IPA Clone,American IPA,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,70,All Grain
Bert's Boneyard RPM IPA Clone,American IPA,18.93,1.068,1.016,6.76,0,6.81,18.93,60,75,Partial Mash
New England IPA,American IPA,21.77,1.066,1.018,6.31,92.1,4.82,26.5,60,75,All Grain
West coast ipa,American IPA,18.93,1.062,1.016,6.13,66,6.97,22.71,60,51,Partial Mash
Milkshake Style IPA Clone,American IPA,22.71,1.078,1.025,7.05,60.66,7.06,26.5,60,70,BIAB
Hazy Juicy IPA,American IPA,22.71,1.062,1.012,6.51,121.43,4.26,26.5,60,70,All Grain
Syntax Error IPA II,American IPA,42,1.068,1.013,7.2,105.67,7.77,52,60,68,All Grain
Fat Head's Headhunter IPA Clone,American IPA,41.64,1.072,1.014,7.52,87.48,7.3,49.21,90,65,All Grain
Green Flash West Coast IPA Clone,American IPA,22.71,1.072,1.016,7.27,0,9.3,28.39,60,65,All Grain
NEIPA,American IPA,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60,65,All Grain
Elvis juice v2.0,American IPA,20,1.059,1.01,6.45,32.49,6.76,25,60,70,All Grain
Juana Peña - Columbus - Mosaic IPA,American IPA,22.71,1.058,1.009,6.42,39.52,3.69,27.44,60,78,All Grain
Fresh Squeezed Clone,American IPA,20.82,1.066,1.018,6.24,68.07,11.58,26.5,60,77,All Grain
Bakke Brygg American IPA 40 l,American IPA,40,1.065,1.012,6.88,65.04,6.75,50,60,70,All Grain
Dogfish Head Brewery - Dogfish Head 60 Minut...,American IPA,20.82,1.064,1.018,6.03,70.74,9.01,13.25,60,70,Partial Mash
Sierra Nevada Pale Ale Clone,American IPA,18.93,1.056,1.013,5.57,43.02,10.33,11.36,60,75,extract
