NAME,8/24/2021,8/23/2021,8/19/2021,8/16/2021,8/12/2021,8/9/2021,8/5/2021,8/2/2021,7/29/2021,7/26/2021,7/22/2021,7/19/2021,7/15/2021,7/12/2021,7/8/2021,7/6/2021,7/1/2021,6/30/2021,6/29/2021,6/28/2021,6/25/2021,6/24/2021,6/23/2021,6/22/2021,6/21/2021,6/18/2021,6/17/2021,6/16/2021,6/15/2021,6/14/2021,6/11/2021,6/10/2021,6/9/2021,6/8/2021,6/7/2021,6/4/2021,6/3/2021,6/2/2021,6/1/2021,5/28/2021,5/27/2021,5/26/2021,5/25/2021,5/24/2021,5/21/2021,5/20/2021,5/19/2021,5/18/2021,5/17/2021,5/14/2021,5/13/2021,5/12/2021,5/11/2021,5/10/2021,5/7/2021,5/6/2021,5/5/2021,5/4/2021,5/3/2021,4/30/2021,4/29/2021,4/28/2021,4/27/2021,4/26/2021,4/23/2021,4/22/2021,4/21/2021,4/20/2021,4/19/2021,4/16/2021,4/15/2021,4/14/2021,4/13/2021,4/12/2021,4/9/2021,4/8/2021,4/7/2021,4/6/2021,4/5/2021,4/2/2021,4/1/2021,3/31/2021,3/30/2021,3/29/2021,3/26/2021,3/25/2021,3/24/2021,3/23/2021,3/22/2021,3/19/2021,3/18/2021,3/17/2021,3/16/2021,3/15/2021,3/12/2021,3/11/2021,3/10/2021,3/9/2021,3/8/2021,3/5/2021,3/4/2021,3/3/2021,3/2/2021,3/1/2021,2/26/2021,2/25/2021,2/24/2021,2/23/2021,2/22/2021,2/19/2021,2/18/2021,2/17/2021,2/16/2021,2/12/2021,2/11/2021,2/10/2021,2/9/2021,2/8/2021,2/5/2021,2/4/2021,2/3/2021,2/2/2021,2/1/2021,1/29/2021,1/28/2021,1/27/2021,1/26/2021,1/25/2021,1/22/2021,1/21/2021,1/20/2021,1/19/2021,1/15/2021,1/14/2021,1/13/2021,1/12/2021,1/11/2021,1/9/2021,1/8/2021,1/6/2021,1/5/2021,1/4/2021,12/31/2020,12/30/2020,12/29/2020,12/28/2020,12/23/2020,12/22/2020,12/21/2020,12/18/2020,12/17/2020,12/16/2020,12/15/2020,12/14/2020,12/11/2020,12/10/2020,12/9/2020,12/8/2020,12/7/2020,12/4/2020,12/3/2020,12/2/2020,11/30/2020,11/25/2020,11/24/2020,11/23/2020,11/20/2020,11/19/2020,11/18/2020,11/17/2020,11/16/2020,11/13/2020,11/12/2020,11/10/2020,11/9/2020,11/6/2020,11/5/2020,11/4/2020,11/3/2020,11/2/2020,10/30/2020,10/29/2020,10/28/2020,10/27/2020,10/26/2020,10/23/2020,10/22/2020,10/20/2020,10/19/2020,10/16/2020,10/15/2020,10/13/2020,10/12/2020,10/9/2020,10/8/2020,10/7/2020,10/6/2020,10/5/2020,10/2/2020,10/1/2020,9/30/2020,9/29/2020,9/28/2020,9/25/2020,9/24/2020,9/23/2020,9/22/2020,9/21/2020,9/18/2020,9/17/2020,9/16/2020,9/15/2020,9/14/2020,9/11/2020,9/10/2020,9/9/2020,9/8/2020,9/4/2020,9/3/2020,9/2/2020,9/1/2020,8/31/2020,8/27/2020,8/26/2020,8/24/2020,8/20/2020,8/19/2020,8/18/2020,8/17/2020,8/12/2020,8/11/2020,8/6/2020,8/5/2020,8/3/2020,7/31/2020
Hammond,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,1,,,,,,,,,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,1,3,2,2,2,1,,,,,,,,,,,,,,,,1,1,1,1,2,3,3,3,2,3,4,4,4,4,3,1,1,1,,,1,1,1,1,5,5,6,6,6,6,4,3,2,1,,,,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,6,6,6,6,5,4,5,3,3,2,1,1,5,4,3,4,4,3,2,,,1,1,1,,,,,,,1,2,3,4,5,5,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morristown,6,7,5,5,4,1,1,,,,,,1,1,,1,,,,,,,,,,,,,,,1,1,1,1,1,2,2,4,4,5,5,5,5,5,3,3,3,2,3,1,1,1,,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,2,1,5,7,7,8,7,12,11,10,10,7,8,8,7,9,9,7,6,8,10,9,10,9,8,8,10,11,9,9,9,9,13,14,13,13,11,12,5,6,5,4,5,6,6,6,2,2,2,3,3,5,5,6,6,4,3,1,1,1,,,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Oswegatchie,24,22,21,16,9,4,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,3,3,3,5,5,10,11,11,11,11,5,4,4,4,4,3,2,2,3,2,2,3,3,3,3,2,1,,,,,,,,,,1,1,1,3,3,2,2,1,1,,,2,3,3,3,3,3,3,3,1,1,2,2,4,4,3,3,3,4,6,10,10,12,12,11,9,12,12,13,16,14,12,11,13,15,20,20,21,39,39,47,49,49,41,36,36,34,36,31,27,27,25,30,30,26,25,26,26,26,29,35,35,35,30,31,26,37,35,52,64,66,91,90,86,124,122,97,94,99,105,108,95,89,40,20,18,2,4,4,4,10,11,11,9,7,2,1,3,3,3,5,4,4,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Ogdensburg,51,43,43,29,10,2,1,2,2,2,3,1,,,1,2,2,2,2,1,2,2,2,2,2,1,1,,2,2,2,2,1,2,1,1,1,2,3,6,7,8,8,6,7,9,7,6,7,7,6,12,10,9,11,12,11,9,11,14,11,9,8,5,9,9,8,7,8,9,9,8,6,7,13,13,13,13,29,26,24,22,21,19,12,9,9,10,9,25,23,24,24,26,78,76,81,79,88,82,76,74,84,71,59,57,36,27,37,35,32,27,28,43,39,48,45,41,45,40,45,99,100,91,88,97,135,144,150,140,136,126,132,114,105,73,75,90,91,82,77,70,64,55,51,47,60,44,47,43,47,60,61,59,66,66,69,69,71,63,66,34,30,8,7,7,5,4,5,4,5,6,5,4,4,1,,,,,,,,,,,,1,1,,,,,,,,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
Lisbon,17,19,16,10,3,4,4,,,,,,,,,,1,1,2,2,2,2,2,2,1,1,1,1,,,1,1,1,1,1,1,1,1,3,4,4,3,3,3,1,1,1,1,1,,2,1,2,2,2,2,2,1,,,1,1,1,1,2,2,2,2,1,,,,,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,,2,4,5,5,6,7,5,4,2,4,4,5,4,9,9,7,9,10,11,13,19,19,18,9,9,5,11,11,12,17,16,20,27,28,21,20,25,30,35,45,45,45,43,61,59,53,53,54,58,58,55,50,49,25,16,9,6,8,10,7,14,14,14,14,15,12,9,10,11,11,10,7,6,6,4,3,4,2,5,4,4,4,3,3,2,2,2,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waddington,3,4,8,5,3,1,1,1,2,1,,,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,,,,,,1,1,1,1,,1,1,1,1,1,,2,2,2,1,3,6,7,8,8,7,8,7,5,6,2,3,3,2,1,2,1,1,1,1,3,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,2,2,5,5,4,6,8,8,15,12,10,12,14,14,12,14,13,7,6,6,7,13,13,13,13,14,14,17,15,16,16,15,23,22,17,17,16,17,16,18,19,15,10,11,8,7,7,3,3,1,1,1,,3,1,1,1,1,2,2,1,1,1,2,3,4,6,4,2,2,3,4,5,2,2,1,1,,,,,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,3,2,,,1,1,,,,,,,,,,
Madrid,9,9,5,3,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,2,2,1,5,5,4,4,4,1,1,1,1,1,,,,,1,1,1,1,1,,,,1,2,3,4,4,3,3,3,,1,1,2,2,3,3,2,2,6,9,9,9,8,6,4,5,4,3,3,3,4,11,12,14,13,16,26,27,33,33,33,31,18,20,19,18,16,15,16,13,13,13,12,9,8,2,4,4,5,8,8,5,2,2,2,3,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,5,5,5,4,2,1,4,3,1,,1,1,2,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,2,3,4,5,7,7,6,5,5,5,3,5,5,4,6,5,6,5,11,10,10,9,8,5,4,4,,,,,,,,1,2,2,2,3,2,3,3,2,2,4,5,7,6,8,9,8,9,12,11,7,9,8,9,13,12,10,11,9,5,6,5,5,5,9,10,12,22,26,24,24,25,26,26,23,20,20,18,17,18,17,18,18,16,17,15,15,11,7,6,3,3,2,1,1,1,,,,,,,,,,1,1,1,1,1,2,3,3,5,5,5,7,8,7,8,8,8,7,6,5,5,4,3,3,2,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,1,1,,,,,,,,,,,,,
Norfolk,11,10,13,13,16,6,3,2,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,3,3,7,10,12,12,13,16,12,12,11,11,10,10,5,5,4,2,3,5,6,8,9,9,7,7,3,5,4,5,5,7,5,5,4,4,5,8,7,8,7,7,5,4,3,2,2,3,4,4,4,4,4,4,3,3,5,4,5,6,10,11,12,11,11,11,14,15,15,17,19,18,14,15,12,9,13,13,20,30,30,30,28,28,32,33,32,37,37,33,33,32,31,27,27,25,27,24,26,22,17,8,8,8,9,9,6,7,5,8,8,8,10,11,11,11,10,4,5,4,7,8,8,6,7,7,6,5,4,4,5,4,4,1,1,1,1,1,2,2,2,2,2,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,2,2,2,3,1,1,,,,,,,,,,,,,
Massena,21,20,24,19,17,9,7,3,5,4,3,,,,,,,1,1,1,1,2,2,2,2,1,3,2,2,2,3,3,3,4,3,4,4,3,3,5,6,6,8,10,15,19,18,19,24,27,28,26,24,22,23,21,21,20,21,21,19,17,17,21,31,33,29,25,26,35,31,32,26,37,37,46,42,30,24,21,14,12,11,11,11,7,5,4,4,9,9,10,9,18,32,34,39,42,61,62,68,71,87,84,71,74,64,64,81,93,84,78,81,92,97,108,103,93,95,88,105,125,124,113,108,109,129,127,129,133,111,101,89,92,91,82,74,62,60,44,43,37,36,27,22,23,26,21,14,20,17,14,10,10,9,8,6,4,6,6,9,11,12,10,13,14,15,15,17,17,18,21,24,18,19,10,12,11,10,9,7,7,7,7,7,6,5,5,3,,,,,,,,,,,1,1,1,2,4,5,6,5,5,5,5,4,3,5,9,10,9,9,11,9,7,2,2,1,1,,,,,,,,,,,
