Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
3375,2,M,66,155,No,right,2,2,0,5,2.9,15,No,Yes,8,6254,Olympic,0,No,72,1600,No,Mac,Snapchat,6,Spring19
5670,1,F,69,170,No,right,1,1,17,6,3.87,14,No,Yes,12,8888,Olympic,4,No,51,200,No,Mac,Instagram,1,Spring19
5858,1,F,64,130,No,right,2,3,40,4,3.3,5,Planning,No,5,2398,Olympic,2,No,68,500,Yes,Mac,Instagram,1,Spring19
7901,1,M,68,157,No,right,1,1,35,4,3.21,10,No,Yes,15,3571,Olympic,0,Yes,54,1000,No,Mac,Snapchat,1,Spring19
8906,1,M,72,175,No,right,3,3,20,6,3.1,2,Planning,No,5,4444,Nobel,0,No,NA,450,No,Mac,Instagram,1,Spring19
6316,3,F,62,150,No,right,1,1,50,4,3.3,8,Yes,Yes,5,4453,Olympic,4,No,86,300,Yes,Mac,Instagram,1,Spring19
5090,1,M,70,121,No,right,0,1,12,27,3.9,3,No,Yes,20,7967,Nobel,0,No,88,140,No,Mac,Instagram,1,Spring19
850,1,M,71,180,No,right,1,1,20,5.5,3.84,7,No,No,15,3827,Nobel,0,No,100,300,No,Mac,Instagram,1,Spring19
5428,1,M,72,165,No,right,2,1,10,0,3.25,3,No,No,30,8739,Nobel,0,No,62,0,Yes,PC,Snapchat,1,Spring19
4411,1,F,66,150,No,right,1,1,40,3,3.75,3,No,NA,6,9561,Nobel,0,No,84,150,No,Mac,Snapchat,1,Spring19
7478,1,F,68,152,No,right,1,2,30,2.5,3.4,10,No,Yes,5,3950,Olympic,2,No,86,148,Yes,PC,Snapchat,1,Spring19
1295,1,M,70,172,No,right,2,2,35,7,3.31,11,No,Yes,4,2113,Olympic,0,Yes,65,0,Yes,Mac,Snapchat,1,Spring19
3746,2,F,61,142,No,right,1,2,60,1.5,3.2,5,Yes,No,10,5897,Olympic,4,No,62,190,Yes,PC,Instagram,1,Spring19
4340,1,M,70,165,No,right,4,4,20,8,3,10,No,Yes,4,1234,Olympic,0,Yes,46,560,Yes,Mac,Instagram,1,Spring19
9803,1,F,64,125,No,right,1,1,40,4,3.6,10,No,Yes,2,1576,Nobel,5,No,56,113,Yes,Mac,Instagram,1,Spring19
5912,1,F,68,147,No,right,3,2,40,3,3.5,14,Planning,Yes,7,6574,Olympic,2,No,80,0,Yes,Mac,Snapchat,1,Spring19
8521,1,F,61,130,No,left,2,2,73,6,3.26,7,Planning,Yes,8,5367,Nobel,0,No,62,650,Yes,Mac,Snapchat,1,Spring19
9872,1,F,66,125,No,right,1,2,125,2,3.42,5,Planning,No,2,3716,Olympic,4,Yes,67,250,No,Mac,Snapchat,1,Spring19
590,3,F,69,157,No,right,1,2,20,2,3.2,5,No,No,10,3659,Nobel,2,No,96,300,No,PC,Snapchat,1,Spring19
8778,2,M,71,174,No,right,3,4,15,9,3.29,12,No,Yes,12,1242,Nobel,0,No,63,521,Yes,Mac,Instagram,1,Spring19
2377,1,F,54,125,No,right,1,1,60,4,3.65,7,No,No,12,5674,Nobel,2,No,75,100,Yes,Mac,Snapchat,1,Spring19
3024,1,M,70,175,No,right,2,1,10,0,3.9,15,No,Yes,4,1234,Olympic,0,No,64,0,Yes,Mac,Snapchat,1,Spring19
3668,1,M,72,187,No,right,2,1,15,1.5,3.45,6,No,No,2,3476,Olympic,0,No,73,0,Yes,Mac,Snapchat,1,Spring19
2100,1,M,72,247,No,right,2,3,25,6,3,7,No,Yes,5,1738,Olympic,0,No,70,300,Yes,PC,Instagram,1,Spring19
682,1,F,65,147,No,right,1,1,5,20,3.3,4,No,No,2,7,Academy,6,No,NA,30,Yes,PC,Other,1,Spring19
7755,1,M,70,150,No,right,1,1,25,0,3.7,2,No,No,6,1039,Nobel,0,No,60,0,No,PC,Snapchat,1,Spring19
9650,1,F,63,130,No,right,1,2,0,7,3.8,7,No,Yes,3,3854,Olympic,2,No,82,200,Yes,PC,Snapchat,1,Spring19
2965,3,M,74,155,Yes,right,1,2,25,3.5,3.3,2,No,No,5,6770,Nobel,1,Yes,58,150,Yes,PC,Instagram,3,Spring19
1995,1,M,77,220,No,right,0,1,20,12,2.8,5,Planning,No,14,3235,Olympic,0,No,68,400,No,Mac,Snapchat,3,Spring19
6553,2,M,68,165,No,right,1,1,0,35,3.2,17,No,Yes,5,5569,Olympic,0,No,58,1000,No,Mac,Instagram,3,Spring19
608,1,F,66,150,No,right,2,3,150,8,2.5,5,No,No,14,1756,Nobel,3,Yes,80,668,Yes,Mac,Snapchat,3,Spring19
8956,1,F,61,110,No,right,3,4,NA,6,3.83,4,No,No,10,3006,Nobel,0,No,68,NA,Yes,PC,Snapchat,3,Spring19
2303,1,F,68,155,No,right,2,3,80,6,3.3,4,Planning,No,12,8265,Olympic,5,Yes,84,300,No,Mac,Snapchat,3,Spring19
987,2,M,69,150,No,right,1,1,20,8.5,3.4,7.5,No,No,4,9646,Nobel,0,No,70,0,No,PC,Snapchat,3,Spring19
