Term,Course,Question,Agree strongly,Agree,Agree Somewhat,Neutral,Disagree Somewhat,Disagree,Disagree Strongly
F14,101-07,1. Course has been a valuable educational experience,7,15,3,3,0,0,0
F14,101-07,2. Effectively Organized,11,16,1,0,0,0,0
F14,101-07,3. Environment Conducive to Learning,14,9,4,1,0,0,0
F14,101-07,5a. Fair Assessment of Student work,9,17,1,1,0,0,0
F14,101-07,5b. Timely Assessment of Student Work,9,17,1,1,0,0,0
F14,101-07,5c. Constructive Assessment of Student Work,9,16,2,1,0,0,0
F14,101-07,6a. Recommend Instructor to another student,9,18,0,1,0,0,0
F14,101-07,6b. Recommend Course to another student,9,14,3,2,0,0,0
F14,101-07,6c. Instructor was an effective teacher,13,13,1,1,0,0,0
F15,101-06,1. Course has been a valuable educational experience,5,15,4,0,0,0,0
F15,101-06,2. Effectively Organized,16,8,0,0,0,0,0
F15,101-06,3. Environment Conducive to Learning,12,10,1,1,0,0,0
F15,101-06,5a. Fair Assessment of Student work,4,16,1,1,2,0,0
F15,101-06,5b. Timely Assessment of Student Work,5,10,5,4,0,0,0
F15,101-06,5c. Constructive Assessment of Student Work,4,15,3,2,0,0,0
F15,101-06,6a. Recommend Instructor to another student,15,6,1,2,0,0,0
F15,101-06,6b. Recommend Course to another student,10,8,3,3,0,0,0
F15,101-06,6c. Instructor was an effective teacher,17,4,0,3,0,0,0
F15,101-08,1. Course has been a valuable educational experience,4,16,3,1,0,0,1
F15,101-08,2. Effectively Organized,12,11,0,2,0,0,0
F15,101-08,3. Environment Conducive to Learning,9,9,3,2,2,0,0
F15,101-08,5a. Fair Assessment of Student work,7,12,3,3,0,0,0
F15,101-08,5b. Timely Assessment of Student Work,6,12,5,2,0,0,0
F15,101-08,5c. Constructive Assessment of Student Work,5,13,2,3,1,0,0
F15,101-08,6a. Recommend Instructor to another student,14,7,2,0,2,0,0
F15,101-08,6b. Recommend Course to another student,8,11,3,2,0,0,1
F15,101-08,6c. Instructor was an effective teacher,13,9,1,1,1,0,0
F16,101-06,1. Course has been a valuable educational experience,7,13,2,0,0,0,0
F16,101-06,2. Effectively Organized,6,16,0,0,0,0,0
F16,101-06,3. Environment Conducive to Learning,6,15,1,0,0,0,0
F16,101-06,5a. Fair Assessment of Student work,4,16,1,1,0,0,0
F16,101-06,5b. Timely Assessment of Student Work,5,10,5,2,0,0,0
F16,101-06,5c. Constructive Assessment of Student Work,2,11,6,3,0,0,0
F16,101-06,6a. Recommend Instructor to another student,11,9,2,0,0,0,0
F16,101-06,6b. Recommend Course to another student,5,13,2,2,0,0,0
F16,101-06,6c. Instructor was an effective teacher,9,12,1,0,0,0,0
F17,101-04,1. Course has been a valuable educational experience,3,18,3,1,0,0,0
F17,101-04,2. Effectively Organized,8,13,3,0,0,1,0
F17,101-04,3. Environment Conducive to Learning,8,11,3,3,0,0,0
F17,101-04,5a. Fair Assessment of Student work,10,13,0,1,1,0,0
F17,101-04,5b. Timely Assessment of Student Work,7,14,2,2,0,0,0
F17,101-04,5c. Constructive Assessment of Student Work,7,14,2,2,0,0,0
